Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:05:31:092591087,00:05:31:092748595,157508
00:05:31:092748785,00:05:31:092916737,167952
00:05:31:092916902,00:05:31:093076120,159218
00:05:31:093076275,00:05:31:093228538,152263
00:05:31:093228693,00:05:31:093401707,173014
00:05:31:093401876,00:05:31:093557366,155490
00:05:31:093557520,00:05:31:093726181,168661
00:05:31:093726337,00:05:31:093894241,167904
00:05:31:093894419,00:05:31:094051223,156804
00:05:31:094051382,00:05:31:094220732,169350
00:05:31:094220894,00:05:31:094376536,155642
00:05:31:094376700,00:05:31:094557969,181269
00:05:31:094558151,00:05:31:094728513,170362
00:05:31:094728708,00:05:31:094896482,167774
00:05:31:094896646,00:05:31:095052257,155611
00:05:31:095052439,00:05:31:095208221,155782
00:05:31:095208368,00:05:31:095364384,156016
00:05:31:095364534,00:05:31:095533362,168828
00:05:31:095533506,00:05:31:095690218,156712
00:05:31:095690594,00:05:31:095872220,181626
00:05:31:095872482,00:05:31:096053149,180667
00:05:31:096053302,00:05:31:096221852,168550
00:05:31:096222001,00:05:31:096378669,156668
00:05:31:096378867,00:05:31:096534215,155348
00:05:31:096534364,00:05:31:096690680,156316
00:05:31:096690895,00:05:31:096855044,164149
00:05:31:096855227,00:05:31:097011651,156424
00:05:31:097011869,00:05:31:097167662,155793
00:05:31:097167808,00:05:31:097326943,159135
00:05:31:097327103,00:05:31:097479901,152798
00:05:31:097480055,00:05:31:097635274,155219
00:05:31:097635447,00:05:31:097795161,159714
00:05:31:097795343,00:05:31:097959357,164014
00:05:31:097959530,00:05:31:098133638,174108
00:05:31:098133785,00:05:31:098298850,165065
00:05:31:098299041,00:05:31:098466930,167889
00:05:31:098467076,00:05:31:098626028,158952
00:05:31:098626199,00:05:31:098783638,157439
00:05:31:098783804,00:05:31:098952212,168408
00:05:31:098952339,00:05:31:099107745,155406
00:05:31:099107913,00:05:31:099264225,156312
00:05:31:099264379,00:05:31:099420214,155835
00:05:31:099420363,00:05:31:099576288,155925
00:05:31:099576439,00:05:31:099733342,156903
00:05:31:099733514,00:05:31:099916886,183372
00:05:31:099917072,00:05:31:100096646,179574
00:05:31:100096869,00:05:31:100265119,168250
00:05:31:100265298,00:05:31:100421085,155787
00:05:31:100421287,00:05:31:100590599,169312
00:05:31:100590759,00:05:31:100747815,157056
00:05:31:100747993,00:05:31:100915532,167539
00:05:31:100915750,00:05:31:101085116,169366
00:05:31:101085313,00:05:31:101254395,169082
00:05:31:101254588,00:05:31:101422289,167701
00:05:31:101422453,00:05:31:101591889,169436
00:05:31:101592202,00:05:31:101774232,182030
00:05:31:101774655,00:05:31:101942514,167859
00:05:31:101942670,00:05:31:102125472,182802
00:05:31:102125662,00:05:31:102309897,184235
00:05:31:102310605,00:05:31:102491314,180709
00:05:31:102491468,00:05:31:102682071,190603
00:05:31:102682260,00:05:31:102850711,168451
00:05:31:102850846,00:05:31:103019489,168643
00:05:31:103019633,00:05:31:103191103,171470
00:05:31:103191295,00:05:31:103372311,181016
00:05:31:103372451,00:05:31:103541878,169427
00:05:31:103542073,00:05:31:103699725,157652
00:05:31:103699938,00:05:31:103879809,179871
00:05:31:103880007,00:05:31:104049199,169192
00:05:31:104049335,00:05:31:104229376,180041
00:05:31:104229563,00:05:31:104399647,170084
00:05:31:104399828,00:05:31:104568833,169005
00:05:31:104569051,00:05:31:104752714,183663
00:05:31:104752944,00:05:31:104920191,167247
00:05:31:104920341,00:05:31:105075769,155428
00:05:31:105075974,00:05:31:105258323,182349
00:05:31:105258503,00:05:31:105426818,168315
00:05:31:105427017,00:05:31:105609257,182240
00:05:31:105609468,00:05:31:105778626,169158
00:05:31:105778832,00:05:31:105946842,168010
00:05:31:105947040,00:05:31:106114816,167776
00:05:31:106115007,00:05:31:107046194,931187
00:05:31:107046651,00:05:31:107222382,175731
00:05:31:107222576,00:05:31:107377574,154998
00:05:31:107377756,00:05:31:107535331,157575
00:05:31:107535526,00:05:31:107692344,156818
00:05:31:107692581,00:05:31:107845341,152760
00:05:31:107845554,00:05:31:108003449,157895
00:05:31:108003653,00:05:31:108199958,196305
00:05:31:108200566,00:05:31:108366743,166177
00:05:31:108366947,00:05:31:108518677,151730
00:05:31:108518851,00:05:31:108669523,150672
00:05:31:108670197,00:05:31:108873745,203548
00:05:31:108874165,00:05:31:109063964,189799
00:05:31:109064393,00:05:31:109255121,190728
00:05:31:109255547,00:05:31:109417316,161769
00:05:31:109417530,00:05:31:109560058,142528
00:05:31:109560215,00:05:31:109732864,172649
00:05:31:109733290,00:05:31:109912718,179428
00:05:31:109913129,00:05:31:110095932,182803
00:05:31:110096359,00:05:31:110299083,202724
00:05:31:110299517,00:05:31:110457895,158378
00:05:31:110458116,00:05:31:110612814,154698
00:05:31:110612992,00:05:31:110792928,179936
00:05:31:110793360,00:05:31:110988985,195625
00:05:31:110989412,00:05:31:111177134,187722
00:05:31:111177562,00:05:31:111336398,158836
00:05:31:111336881,00:05:31:111650698,313817
00:05:31:111651148,00:05:31:111819200,168052
00:05:31:111819520,00:05:31:111979590,160070
00:05:31:111979813,00:05:31:112138555,158742
00:05:31:112138882,00:05:31:112292125,153243
00:05:31:112292327,00:05:31:112447322,154995
00:05:31:112447515,00:05:31:112604892,157377
00:05:31:112605075,00:05:31:112761960,156885
00:05:31:112762290,00:05:31:112916697,154407
00:05:31:112916983,00:05:31:113072424,155441
00:05:31:113072634,00:05:31:113228577,155943
00:05:31:113228838,00:05:31:113384082,155244
00:05:31:113384327,00:05:31:113539435,155108
00:05:31:113539656,00:05:31:113697858,158202
00:05:31:113698155,00:05:31:113854259,156104
00:05:31:113854600,00:05:31:114007849,153249
00:05:31:114008095,00:05:31:114176498,168403
00:05:31:114176946,00:05:31:114331836,154890
00:05:31:114332055,00:05:31:114490538,158483
00:05:31:114490795,00:05:31:114644454,153659
00:05:31:114644704,00:05:31:114799393,154689
00:05:31:114799541,00:05:31:114955089,155548
