Start - HH:MM:SS:NANOSECONDS,End - HH:MM:SS:NANOSECONDS,Difference in NANOSECONDS
00:06:35:749727382,00:06:35:749883389,156007
00:06:35:749883560,00:06:35:750038959,155399
00:06:35:750039138,00:06:35:750195182,156044
00:06:35:750195354,00:06:35:750351410,156056
00:06:35:750351580,00:06:35:750520158,168578
00:06:35:750520320,00:06:35:750676339,156019
00:06:35:750676500,00:06:35:750832428,155928
00:06:35:750832603,00:06:35:751001016,168413
00:06:35:751001179,00:06:35:751157435,156256
00:06:35:751157607,00:06:35:751325814,168207
00:06:35:751325974,00:06:35:751481819,155845
00:06:35:751481977,00:06:35:751638611,156634
00:06:35:751638795,00:06:35:751794257,155462
00:06:35:751794423,00:06:35:751950297,155874
00:06:35:751950468,00:06:35:752119216,168748
00:06:35:752119386,00:06:35:752288558,169172
00:06:35:752288717,00:06:35:752444446,155729
00:06:35:752444613,00:06:35:752599771,155158
00:06:35:752599934,00:06:35:752757024,157090
00:06:35:752757184,00:06:35:752925028,167844
00:06:35:752925191,00:06:35:753081727,156536
00:06:35:753081894,00:06:35:753237052,155158
00:06:35:753237218,00:06:35:753406362,169144
00:06:35:753406517,00:06:35:753562245,155728
00:06:35:753562406,00:06:35:753718547,156141
00:06:35:753718718,00:06:35:753873836,155118
00:06:35:753874009,00:06:35:754028452,154443
00:06:35:754028623,00:06:35:754198911,170288
00:06:35:754199093,00:06:35:754355306,156213
00:06:35:754355468,00:06:35:754510789,155321
00:06:35:754510960,00:06:35:754680314,169354
00:06:35:754680487,00:06:35:754836256,155769
00:06:35:754836432,00:06:35:754992359,155927
00:06:35:754992524,00:06:35:755148215,155691
00:06:35:755148377,00:06:35:755304444,156067
00:06:35:755304608,00:06:35:755460563,155955
00:06:35:755460724,00:06:35:755629506,168782
00:06:35:755629672,00:06:35:755784779,155107
00:06:35:755784941,00:06:35:755941105,156164
00:06:35:755941273,00:06:35:756097076,155803
00:06:35:756097192,00:06:35:756266426,169234
00:06:35:756266606,00:06:35:756422287,155681
00:06:35:756422455,00:06:35:756578129,155674
00:06:35:756578293,00:06:35:756747295,169002
00:06:35:756747470,00:06:35:756903026,155556
00:06:35:756903188,00:06:35:757058679,155491
00:06:35:757058847,00:06:35:757214410,155563
00:06:35:757214569,00:06:35:757370793,156224
00:06:35:757370963,00:06:35:757540233,169270
00:06:35:757540397,00:06:35:757695979,155582
00:06:35:757696152,00:06:35:757852084,155932
00:06:35:757852249,00:06:35:758008016,155767
00:06:35:758008189,00:06:35:758164433,156244
00:06:35:758164619,00:06:35:758320281,155662
00:06:35:758320452,00:06:35:758488640,168188
00:06:35:758488797,00:06:35:758645979,157182
00:06:35:758646153,00:06:35:758827449,181296
00:06:35:758827620,00:06:35:758983471,155851
00:06:35:758983644,00:06:35:759139006,155362
00:06:35:759139190,00:06:35:759294959,155769
00:06:35:759295070,00:06:35:759451512,156442
00:06:35:759451681,00:06:35:759619910,168229
00:06:35:759620067,00:06:35:759775791,155724
00:06:35:759775956,00:06:35:759931645,155689
00:06:35:759931807,00:06:35:760087926,156119
00:06:35:760088085,00:06:35:760269644,181559
00:06:35:760269803,00:06:35:760438900,169097
00:06:35:760439064,00:06:35:760594816,155752
00:06:35:760594983,00:06:35:760751956,156973
00:06:35:760752122,00:06:35:760919944,167822
00:06:35:760920112,00:06:35:761075851,155739
00:06:35:761076014,00:06:35:761232074,156060
00:06:35:761232252,00:06:35:761387952,155700
00:06:35:761388113,00:06:35:761543600,155487
00:06:35:761543759,00:06:35:761713454,169695
00:06:35:761713622,00:06:35:761882125,168503
00:06:35:761882287,00:06:35:762038200,155913
00:06:35:762038369,00:06:35:762193966,155597
00:06:35:762194124,00:06:35:762362919,168795
00:06:35:762363083,00:06:35:762519466,156383
00:06:35:762519635,00:06:35:762675515,155880
00:06:35:762675685,00:06:35:762844418,168733
00:06:35:762844578,00:06:35:763000096,155518
00:06:35:763000256,00:06:35:763156486,156230
00:06:35:763156664,00:06:35:763312777,156113
00:06:35:763312952,00:06:35:763481410,168458
00:06:35:763481582,00:06:35:763638240,156658
00:06:35:763638423,00:06:35:763806916,168493
00:06:35:763807095,00:06:35:763975734,168639
00:06:35:763975905,00:06:35:764144311,168406
00:06:35:764144480,00:06:35:764313371,168891
00:06:35:764313539,00:06:35:764469472,155933
00:06:35:764469638,00:06:35:764624850,155212
00:06:35:764625032,00:06:35:764781753,156721
00:06:35:764781912,00:06:35:764950516,168604
00:06:35:764950755,00:06:35:765106095,155340
00:06:35:765106254,00:06:35:765262250,155996
00:06:35:765262407,00:06:35:765418057,155650
00:06:35:765418210,00:06:35:765573958,155748
00:06:35:765574117,00:06:35:765730914,156797
00:06:35:765731086,00:06:35:765913120,182034
00:06:35:765913294,00:06:35:766068468,155174
00:06:35:766068640,00:06:35:766236961,168321
00:06:35:766237120,00:06:35:766393050,155930
00:06:35:766393202,00:06:35:766549137,155935
00:06:35:766549293,00:06:35:766705602,156309
00:06:35:766705759,00:06:35:766873422,167663
00:06:35:766873588,00:06:35:767030513,156925
00:06:35:767030672,00:06:35:767197765,167093
00:06:35:767197930,00:06:35:767354329,156399
00:06:35:767354490,00:06:35:767510426,155936
00:06:35:767510590,00:06:35:767667184,156594
00:06:35:767667349,00:06:35:767823201,155852
00:06:35:767823384,00:06:35:767992217,168833
00:06:35:767992399,00:06:35:768147790,155391
00:06:35:768147959,00:06:35:768316702,168743
00:06:35:768316880,00:06:35:768472862,155982
00:06:35:768473028,00:06:35:768629421,156393
00:06:35:768629607,00:06:35:768797961,168354
00:06:35:768798077,00:06:35:768953854,155777
00:06:35:768954020,00:06:35:769110459,156439
00:06:35:769110636,00:06:35:769265418,154782
00:06:35:769265577,00:06:35:769421362,155785
00:06:35:769421524,00:06:35:769577529,156005
00:06:35:769577698,00:06:35:769734400,156702
00:06:35:769734569,00:06:35:769889390,154821
00:06:35:769889561,00:06:35:770046128,156567
00:06:35:770046297,00:06:35:770201993,155696
00:06:35:770202160,00:06:35:770357639,155479
00:06:35:770357797,00:06:35:770513355,155558
00:06:35:770513520,00:06:35:770670035,156515
00:06:35:770670160,00:06:35:770825873,155713
00:06:35:770826043,00:06:35:770995043,169000
