Start - HH:MM:SS:NANOSECONDS,     End - HH:MM:SS:NANOSECONDS,     Difference in NANOSECONDS
23:47:24:045875249,     23:47:24:046045804,     170555
23:47:24:046046069,     23:47:24:046215134,     169065
23:47:24:046215297,     23:47:24:046376756,     161459
23:47:24:046376916,     23:47:24:046538951,     162035
23:47:24:046539107,     23:47:24:046711205,     172098
23:47:24:046711457,     23:47:24:046890413,     178956
23:47:24:046890592,     23:47:24:047060777,     170185
23:47:24:047060941,     23:47:24:047222866,     161925
23:47:24:047223036,     23:47:24:047393856,     170820
23:47:24:047394021,     23:47:24:047565511,     171490
23:47:24:047565632,     23:47:24:047735659,     170027
23:47:24:047735829,     23:47:24:047897456,     161627
23:47:24:047897615,     23:47:24:048059759,     162144
23:47:24:048059924,     23:47:24:048231188,     171264
23:47:24:048231357,     23:47:24:048401837,     170480
23:47:24:048402001,     23:47:24:048573175,     171174
23:47:24:048573352,     23:47:24:048735079,     161727
23:47:24:048735240,     23:47:24:048906004,     170764
23:47:24:048906162,     23:47:24:049076600,     170438
23:47:24:049076748,     23:47:24:049239791,     163043
23:47:24:049239938,     23:47:24:049409353,     169415
23:47:24:049409509,     23:47:24:049581260,     171751
23:47:24:049581419,     23:47:24:049752422,     171003
23:47:24:049752626,     23:47:24:049923124,     170498
23:47:24:049923281,     23:47:24:050093807,     170526
23:47:24:050093968,     23:47:24:050259431,     165463
23:47:24:050259663,     23:47:24:050436167,     176504
23:47:24:050436379,     23:47:24:050598222,     161843
23:47:24:050598411,     23:47:24:050760068,     161657
23:47:24:050760249,     23:47:24:050930864,     170615
23:47:24:050931028,     23:47:24:051092699,     161671
23:47:24:051092849,     23:47:24:051263889,     171040
23:47:24:051264064,     23:47:24:051434929,     170865
23:47:24:051435100,     23:47:24:051597194,     162094
23:47:24:051597378,     23:47:24:051768592,     171214
23:47:24:051768759,     23:47:24:051938797,     170038
23:47:24:051938974,     23:47:24:052100537,     161563
23:47:24:052100692,     23:47:24:052271743,     171051
23:47:24:052271893,     23:47:24:052443693,     171800
23:47:24:052443947,     23:47:24:052613562,     169615
23:47:24:052613725,     23:47:24:052785795,     172070
23:47:24:052785995,     23:47:24:052947293,     161298
23:47:24:052947472,     23:47:24:053117703,     170231
23:47:24:053117826,     23:47:24:053279701,     161875
23:47:24:053279823,     23:47:24:053450801,     170978
23:47:24:053450926,     23:47:24:053622189,     171263
23:47:24:053622371,     23:47:24:053802972,     180601
23:47:24:053803130,     23:47:24:053974908,     171778
23:47:24:053975109,     23:47:24:054152647,     177538
23:47:24:054152798,     23:47:24:054315061,     162263
23:47:24:054315222,     23:47:24:054476443,     161221
23:47:24:054476592,     23:47:24:054639545,     162953
23:47:24:054639768,     23:47:24:054810299,     170531
23:47:24:054810484,     23:47:24:054972268,     161784
23:47:24:054972440,     23:47:24:055142881,     170441
23:47:24:055143050,     23:47:24:055304810,     161760
23:47:24:055304967,     23:47:24:055466978,     162011
23:47:24:055467149,     23:47:24:055638799,     171650
23:47:24:055638982,     23:47:24:055808684,     169702
23:47:24:055808842,     23:47:24:055979790,     170948
23:47:24:055979938,     23:47:24:056152974,     173036
23:47:24:056153137,     23:47:24:056324381,     171244
23:47:24:056324644,     23:47:24:056501740,     177096
